Date Time O3_ref O3_p1 O3_gen
04/30/26 "08:45:00 PM" 121.123 123.11 120
04/30/26 "08:46:00 PM" 121.223 122.842 120
04/30/26 "08:47:00 PM" 121.2 123.25 120
04/30/26 "08:48:00 PM" 121.607 123.162 120
04/30/26 "08:49:00 PM" 121.677 123.12 120
04/30/26 "08:50:00 PM" 121.973 123.452 120
04/30/26 "08:51:00 PM" 121.51 123.423 120
04/30/26 "08:52:00 PM" 121.127 123.092 120
04/30/26 "08:53:00 PM" 120.71 122.947 120
04/30/26 "08:54:00 PM" 120.897 122.61 120
04/30/26 "08:55:00 PM" 120.907 122.528 120
04/30/26 "08:56:00 PM" 121.3 123.353 120
04/30/26 "08:57:00 PM" 121.207 123.605 120
04/30/26 "08:58:00 PM" 120.983 122.92 120
04/30/26 "08:59:00 PM" 120.822 122.698 120
04/30/26 "09:00:00 PM" 121.01 122.687 120
04/30/26 "09:01:00 PM" 120.535 122.655 120
04/30/26 "09:02:00 PM" 120.727 122.55 120
04/30/26 "09:03:00 PM" 98.079 99.312 80
04/30/26 "09:04:00 PM" 78.325 79.618 80
04/30/26 "09:05:00 PM" 77.653 79.19 80
04/30/26 "09:06:00 PM" 79.181 80.545 80
04/30/26 "09:07:00 PM" 79.952 82.018 80
04/30/26 "09:08:00 PM" 80.301 82.66 80
04/30/26 "09:09:00 PM" 80.51 82.627 80
04/30/26 "09:10:00 PM" 80.622 82.737 80
04/30/26 "09:11:00 PM" 80.611 82.678 80
04/30/26 "09:12:00 PM" 80.645 82.17 80
04/30/26 "09:13:00 PM" 80.382 82.277 80
04/30/26 "09:14:00 PM" 80.432 82.663 80
04/30/26 "09:15:00 PM" 80.088 82.525 80
04/30/26 "09:16:00 PM" 79.905 82.278 80
04/30/26 "09:17:00 PM" 80.221 82.468 80
04/30/26 "09:18:00 PM" 80.683 82.458 80
04/30/26 "09:19:00 PM" 80.833 82.123 80
04/30/26 "09:20:00 PM" 80.657 82.505 80
04/30/26 "09:21:00 PM" 80.494 82.578 80
04/30/26 "09:22:00 PM" 79.76 82.315 80
04/30/26 "09:23:00 PM" 80.226 82.5 80
04/30/26 "09:24:00 PM" 79.875 81.717 80
04/30/26 "09:25:00 PM" 80.311 81.317 80
04/30/26 "09:26:00 PM" 79.825 81.2 80
04/30/26 "09:27:00 PM" 80.082 81.543 80
04/30/26 "09:28:00 PM" 79.952 81.803 80
04/30/26 "09:29:00 PM" 80.349 81.875 80
04/30/26 "09:30:00 PM" 79.84 82.532 80
04/30/26 "09:31:00 PM" 80.025 83.095 80
04/30/26 "09:32:00 PM" 80.325 82.222 80
04/30/26 "09:33:00 PM" 80.11 82.36 80
04/30/26 "09:34:00 PM" 79.863 82.407 80
04/30/26 "09:35:00 PM" 79.667 81.788 80
04/30/26 "09:36:00 PM" 79.994 81.59 80
04/30/26 "09:37:00 PM" 79.874 81.655 80
04/30/26 "09:38:00 PM" 80.672 82.347 80
04/30/26 "09:39:00 PM" 80.871 82.863 80
04/30/26 "09:40:00 PM" 80.388 82.362 80
04/30/26 "09:41:00 PM" 79.698 81.618 80
